unit,sex,age,icd10,geo\time	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,T,TOTAL,I20-I25,NL34	65.19 	61.57 	60.2 	55.81 	52.86 	50.08 	46.99 	46.48 
RT,T,TOTAL,I20-I25,NL41	68.74 	65.45 	62.03 	58.9 	56.28 	53.81 	52.39 	50.5 
RT,T,TOTAL,I20-I25,NL42	78.65 	73.82 	69.13 	62.98 	59.82 	56.55 	55.47 	55.27 
RT,T,TOTAL,I20-I25,NO01	102.08 	92.44 	86.95 	81.99 	78.06 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO02	132.21 	126.33 	120.68 	119.06 	110.53 	98.93 	86.23 	80.27 
RT,T,TOTAL,I20-I25,NO03	113.33 	105.62 	97.4 	91.29 	87.51 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO04	102.81 	94.57 	86.61 	82.3 	75.52 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO05	115.01 	104.91 	100.12 	91.59 	86.98 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO06	114.83 	107.22 	99.87 	94.06 	86.66 	82.13 	76.47 	71.03 
RT,T,TOTAL,I20-I25,NO07	124.75 	117.08 	108.58 	99.64 	90.99 	85.27 	79.99 	77.01 
RT,T,TOTAL,I20-I25,PL21	218.96 	214.74 	213.28 	204.09 	203.12 	201 	207.62 	214.79 
RT,T,TOTAL,I20-I25,PL22	201.28 	161.25 	150.08 	143.35 	153.15 	173.35 	193.62 	208.31 
RT,T,TOTAL,I20-I25,PL41	150.25 	116.58 	109.07 	100.01 	94.07 	89.41 	85.61 	83.77 
RT,T,TOTAL,I20-I25,PL42	159.16 	146.23 	133.33 	121.56 	116.87 	114.42 	109.11 	106.65 
RT,T,TOTAL,I20-I25,PL43	129.26 	110.99 	98.54 	92.27 	115.84 	119.07 	123.33 	101.65 
RT,T,TOTAL,I20-I25,PL51	176.35 	153.82 	109.64 	107.41 	104.27 	101.02 	101.59 	103.27 
RT,T,TOTAL,I20-I25,PL52	97.14 	90.33 	82.5 	69.08 	76.57 	115.04 	188.06 	235.08 
RT,T,TOTAL,I20-I25,PL61	105.08 	92.68 	81.92 	73.3 	87.06 	95.41 	107.14 	111.56 
RT,T,TOTAL,I20-I25,PL62	116.98 	108.8 	100.21 	100.98 	111.11 	117.14 	117.27 	110.28 
RT,T,TOTAL,I20-I25,PL63	172.03 	202.93 	206.04 	219.39 	253.37 	295.52 	325.32 	331.7 
RT,T,TOTAL,I20-I25,PL71	: 	: 	99.47 	92.78 	90.31 	85.08 	81.92 	81.93 
RT,T,TOTAL,I20-I25,PL72	: 	: 	76.08 	74.62 	87.26 	97.98 	99.61 	158 
RT,T,TOTAL,I20-I25,PL81	: 	: 	72.69 	73.9 	80.68 	85.03 	84.42 	125.6 
RT,T,TOTAL,I20-I25,PL82	: 	: 	79.29 	72.48 	95.18 	109.06 	133.88 	150.37 
RT,T,TOTAL,I20-I25,PL84	: 	: 	192 	194.1 	207.93 	219.35 	224.55 	241.74 
RT,T,TOTAL,I20-I25,PL91	: 	: 	150.08 	136.09 	117.58 	95.73 	77.9 	59.8 
RT,T,TOTAL,I20-I25,PL92	: 	: 	179.55 	188.38 	186.31 	135.86 	93.45 	71.38 
